prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.605,1.5458,41.7308,0.915,mix,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.883,1.5916,38.6983,0.8688,mix,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.6579,2.1126,34.4038,0.9665,mix,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.9147,1.4688,40.0946,0.9054,mix,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.9782,2.0241,37.9962,0.9239,mix,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,2.085,1.5567,39.0673,0.8305,mix,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.9779,1.5832,37.9759,0.9679,mix,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,2.1194,1.7179,36.1926,0.9763,mix,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.4788,1.582,35.007,0.9575,mix,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,2.1487,1.9541,36.9348,0.9733,mix,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,2.0672,1.8816,40.093,0.9185,mix,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,1.8093,2.0557,38.082,0.9686,mix,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.6715,1.9618,32.9732,0.9382,mix,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.0305,1.8939,33.9975,0.9588,mix,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,2.0002,1.7227,36.0926,0.9091,mix,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.9754,1.434,35.6855,0.9528,mix,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5362,1.6372,38.7441,0.9453,mix,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_car_and_a_brown_elephant,a red car and a brown elephant,2.1564,1.6758,41.6206,0.9279,mix,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,1.801,2.0201,40.0627,0.9393,mix,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.0683,1.4278,41.7171,0.8599,mix,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.5389,1.894,39.0925,0.9513,mix,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.9354,2.5495,44.0652,0.9613,mix,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,2.243,1.8709,35.9859,0.9688,mix,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.9241,1.8426,33.057,0.9729,mix,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,2.1039,1.6882,34.2419,0.9259,mix,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.411,1.8542,37.9052,0.9366,mix,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.4685,1.7029,34.1723,0.9198,mix,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,1.8865,2.1061,38.0494,0.955,mix,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.779,1.6653,32.9163,0.9261,apg,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.9015,1.7762,32.1884,0.8796,apg,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4782,1.6305,37.2232,0.9369,apg,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.8365,1.7646,39.0683,0.8928,apg,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2061,1.6009,36.1645,0.9239,apg,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.9644,1.3986,36.8285,0.6872,apg,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.7699,1.2228,38.4895,0.7754,apg,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8475,1.3793,33.7727,0.761,apg,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,2.028,1.2765,31.5611,0.7387,apg,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4132,1.5964,39.338,0.668,apg,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.9554,1.5915,39.145,0.8251,apg,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5793,1.4984,41.4052,0.6699,apg,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.8466,1.4279,38.9621,0.84,apg,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.617,1.3903,39.4334,0.8085,apg,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.8615,1.6149,42.1324,0.9029,apg,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.8507,1.2919,38.633,0.6945,apg,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.9632,1.5978,39.0927,0.9018,apg,a_brown_bench_and_a_green_dog,a brown bench and a green dog,a_brown_bench_and_a_green_dog
a_brown_car_and_a_red_clock,a brown car and a red clock,1.8208,1.7316,41.8823,0.9386,apg,a_brown_car_and_a_red_clock,a brown car and a red clock,a_brown_car_and_a_red_clock
a_cat_near_a_table,a cat near a table,1.7249,1.8623,34.2666,0.973,apg,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,1.7393,2.1469,35.7329,0.9099,apg,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,1.4195,1.4276,43.5378,0.8697,apg,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,1.7222,1.5044,41.2897,0.7378,apg,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,1.4489,2.0473,37.6748,0.9456,apg,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,1.808,1.4229,39.6164,0.7447,apg,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.5765,1.862,38.9613,0.923,apg,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,1.8874,1.6381,38.3747,0.868,apg,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,1.734,1.5098,39.3668,0.9392,apg,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,1.9553,1.6633,34.4485,0.9446,apg,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,2.3351,1.464,32.9251,0.942,apg,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.9091,1.7274,37.0756,0.9425,apg,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_gold_car_and_a_red_clock,a gold car and a red clock,1.822,1.7956,41.5133,0.8864,apg,a_gold_car_and_a_red_clock,a gold car and a red clock,a_gold_car_and_a_red_clock
a_green_bench_and_a_blue_car,a green bench and a blue car,2.1661,1.8939,37.848,0.9124,apg,a_green_bench_and_a_blue_car,a green bench and a blue car,a_green_bench_and_a_blue_car
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.5569,1.8168,34.5477,0.8906,apg,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,2.4025,1.8191,32.6118,0.9207,apg,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,1.7025,1.6131,37.9257,0.8289,apg,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,1.8111,1.3998,34.9962,0.9294,apg,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.5171,1.5598,39.2294,0.909,apg,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_red_car_and_a_brown_elephant,a red car and a brown elephant,1.8633,1.5376,41.3013,0.8505,apg,a_red_car_and_a_brown_elephant,a red car and a brown elephant,a_red_car_and_a_brown_elephant
a_red_car_and_a_gold_clock,a red car and a gold clock,1.8916,1.8816,40.9003,0.9327,apg,a_red_car_and_a_gold_clock,a red car and a gold clock,a_red_car_and_a_gold_clock
a_red_car_and_a_pink_elephant,a red car and a pink elephant,2.2294,1.3479,40.6067,0.8841,apg,a_red_car_and_a_pink_elephant,a red car and a pink elephant,a_red_car_and_a_pink_elephant
a_sheep_near_a_car,a sheep near a car,1.5057,1.702,39.5729,0.8882,apg,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_television_on_the_right_of_a_cow,a television on the right of a cow,1.8143,2.2904,42.8699,0.9582,apg,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,1.6893,1.6759,36.6123,0.8905,apg,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.4464,1.6431,33.6642,0.9295,apg,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,2.0095,1.5325,34.0102,0.8995,apg,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,2.3134,1.6983,35.0835,0.8549,apg,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,2.2358,1.7143,36.1475,0.8768,apg,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,2.0572,1.9934,41.9025,0.9161,apg,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,a_yellow_bench_and_a_green_dog
